CEPH ID	Origin
HGDP00841	Brazil
HGDP00842	Brazil
HGDP00843	Brazil
HGDP00844	Brazil
HGDP00845	Brazil
HGDP00846	Brazil
HGDP00847	Brazil
HGDP00848	Brazil
HGDP00849	Brazil
HGDP00850	Brazil
HGDP00851	Brazil
HGDP00852	Brazil
HGDP00854	Mexico
HGDP00855	Mexico
HGDP00856	Mexico
HGDP00857	Mexico
HGDP00858	Mexico
HGDP00859	Mexico
HGDP00860	Mexico
HGDP00861	Mexico
HGDP00862	Mexico
HGDP00863	Mexico
HGDP00864	Mexico
HGDP00865	Mexico
HGDP00866	Mexico
HGDP00867	Mexico
HGDP00868	Mexico
HGDP00869	Mexico
HGDP00870	Mexico
HGDP00871	Mexico
HGDP00872	Mexico
HGDP00873	Mexico
HGDP00874	Mexico
HGDP00875	Mexico
HGDP00876	Mexico
HGDP00877	Mexico
HGDP00878	Mexico
HGDP00879	Russia
HGDP00880	Russia
HGDP00881	Russia
HGDP00882	Russia
HGDP00883	Russia
HGDP00884	Russia
HGDP00885	Russia
HGDP00886	Russia
HGDP00887	Russia
HGDP00888	Russia
HGDP00889	Russia
HGDP00890	Russia
HGDP00891	Russia
HGDP00892	Russia
HGDP00893	Russia
HGDP00894	Russia
HGDP00895	Russia
HGDP00896	Russia
HGDP00897	Russia
HGDP00898	Russia
HGDP00899	Russia
HGDP00900	Russia
HGDP00901	Russia
HGDP00902	Russia
HGDP00903	Russia
HGDP00904	Senegal
HGDP00905	Senegal
HGDP00906	Senegal
HGDP00907	Senegal
HGDP00908	Senegal
HGDP00909	Senegal
HGDP00910	Senegal
HGDP00911	Senegal
HGDP00912	Senegal
HGDP00913	Senegal
HGDP00914	Senegal
HGDP00915	Senegal
HGDP00916	Senegal
HGDP00917	Senegal
HGDP00918	Senegal
HGDP00919	Senegal
HGDP00920	Nigeria
HGDP00921	Nigeria
HGDP00922	Nigeria
HGDP00923	Nigeria
HGDP00924	Nigeria
HGDP00925	Nigeria
HGDP00926	Nigeria
HGDP00927	Nigeria
HGDP00928	Nigeria
HGDP00929	Nigeria
HGDP00930	Nigeria
HGDP00931	Nigeria
HGDP00932	Nigeria
HGDP00933	Nigeria
HGDP00934	Nigeria
HGDP00935	Nigeria
HGDP00936	Nigeria
